,obs,def,wrf,li,base
0,11.0,3.6737627461776685,0.3572572275746669,0.3795867291185552,2.2271730880737843
1,9.7,4.7023089896307795,0.4422587152480059,0.46273891855066124,2.931950583418954
2,12.8,2.691126816734551,1.0255224249392043,1.0305294238338105,2.3000334266281404
3,6.8,7.029571777082457,5.433534285767921,5.422521515875836,8.027582374791503
4,14.2,22.683950842050354,16.969728785668284,16.100198798179097,29.292945484802356
5,47.5,6.255516201091983,4.804057872541922,4.7151389835680755,10.347941841522543
6,17.4,0.09201229250023447,0.034314042871385245,0.02788800134000405,0.6249114304380804
7,20.0,1.8063134756176438,1.0896401147753034,1.0719254377057665,3.0158033927430523
8,92.7,6.959472853028842,6.971582480979304,6.927210763331909,10.54796464922224
9,3.3,2.596283213700677,2.2439952325283548,2.1734479830910045,3.372545351560505
10,11.0,0.04567027630233399,0.00614191155471907,0.00219956212334859,0.131326679983676
11,43.4,5.731198629231627,3.953972005906983,3.8876231733855917,10.2084627481577
12,7.1,5.976617297245101,5.181242659440784,5.228026550416657,8.462903915785297
13,8.8,7.724782497348315,6.7425514952437,6.833538023693754,10.409023910471365
14,11.0,0.0,0.0,0.0,0.0
15,78.5,14.76018353892037,6.890485313168068,6.830436154096021,15.937940059398871
16,8.0,2.588555652487506,1.0322380306893355,1.0426742822023383,2.3078771262376914
17,5.5,2.0031158803308426,1.0914556842749596,1.0988699771925106,1.7511433867401047
18,1.8,2.839298618345765,2.372553249921642,2.3885860718845144,3.1641146062563874
19,1.8,0.613146860620882,0.383644818432627,0.38563502153043944,0.5116384320352608
20,21.1,1.2893870588183944,1.1857473578023654,1.186558035995159,1.291430980594367
